hour_of_day,trip_count,avg_driver_income,income_per_hour,tip_percentage
7,158865,22.37,1.28,3.06
8,199797,22.57,1.23,3.29
6,164598,20.11,1.21,2.73
5,203013,19.11,1.18,2.86
4,289969,19.32,1.17,3.06
3,410078,20.28,1.16,3.23
2,557286,21.3,1.15,3.32
9,325975,21.55,1.15,3.2
1,641043,21.68,1.14,3.6
0,652969,21.35,1.12,3.83
10,491046,20.5,1.09,3.34
23,660473,20.74,1.08,3.84
11,580864,19.92,1.07,3.61
12,537490,19.89,1.06,4.07
22,686739,20.26,1.06,3.87
13,507285,20.58,1.05,4.34
21,709383,20.89,1.05,4.04
14,504471,21.01,1.04,4.39
15,518231,21.4,1.04,4.33
16,544305,21.95,1.03,4.17
17,589829,22.66,1.01,3.95
20,684794,22.02,1.01,3.95
18,600933,23.03,1.0,3.88
19,626130,22.93,1.0,3.9
