zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
South Williamsburg,Brooklyn,138,3.2,14.91,22.88,8.78,Residential,9
Port Richmond,Staten Island,94,3.6,19.51,19.75,7.11,Residential,9
Pelham Bay,Bronx,166,3.61,22.07,18.32,14.36,Residential,9
Crotona Park East,Bronx,95,3.68,19.21,20.96,7.4,Residential,9
Woodside,Queens,758,3.69,20.24,19.78,9.89,Residential,9
Laurelton,Queens,148,3.72,21.44,19.95,11.44,Residential,9
Bensonhurst West,Brooklyn,502,3.76,20.23,20.68,6.83,Residential,9
South Jamaica,Queens,172,3.82,19.88,22.57,7.6,Residential,9
Crotona Park,Bronx,6,3.85,18.56,21.05,6.22,Residential,9
Kew Gardens Hills,Queens,296,3.89,18.59,22.38,7.51,Residential,9
North Corona,Queens,190,3.91,20.47,22.7,42.42,Residential,9
East Flatbush/Remsen Village,Brooklyn,305,3.95,19.41,22.99,7.12,Residential,9
Manhattan Beach,Brooklyn,185,3.96,19.14,22.97,6.94,Residential,9
East New York/Pennsylvania Avenue,Brooklyn,144,3.96,19.93,22.37,7.51,Residential,9
Allerton/Pelham Gardens,Bronx,199,4.02,21.03,21.34,6.89,Residential,9
Ocean Hill,Brooklyn,334,4.05,19.24,23.19,13.36,Residential,9
East Tremont,Bronx,191,4.06,21.27,22.14,6.8,Residential,9
Norwood,Bronx,318,4.06,19.65,22.56,16.05,Residential,9
Van Nest/Morris Park,Bronx,352,4.08,20.89,21.57,6.5,Residential,9
Saint Albans,Queens,270,4.09,20.86,23.19,12.39,Residential,9
Queensboro Hill,Queens,195,4.12,18.45,23.46,22.58,Residential,9
Ocean Parkway South,Brooklyn,110,4.16,20.2,23.09,7.16,Residential,9
Bedford,Brooklyn,1185,4.19,18.34,23.87,7.48,Residential,9
Astoria,Queens,1861,4.22,21.27,21.9,9.25,Residential,9
Crown Heights North,Brooklyn,1782,4.32,18.58,25.13,7.62,Residential,9
East Harlem North,Manhattan,901,4.35,20.96,22.86,6.46,Residential,9
Ridgewood,Queens,1135,4.36,19.75,23.75,10.49,Residential,9
Dyker Heights,Brooklyn,341,4.38,21.98,22.35,6.22,Residential,9
Bushwick South,Brooklyn,1728,4.41,19.43,23.9,8.36,Residential,9
Marine Park/Mill Basin,Brooklyn,330,4.43,19.65,25.37,16.01,Residential,9
Outside of NYC,N/A,3,4.47,24.59,20.57,5.71,Residential,9
Sunnyside,Queens,1063,4.47,20.49,23.02,8.1,Residential,9
Flatbush/Ditmas Park,Brooklyn,1114,4.52,19.73,24.85,8.38,Residential,9
Coney Island,Brooklyn,319,4.57,20.38,24.96,6.88,Residential,9
Woodlawn/Wakefield,Bronx,260,4.59,20.98,25.66,11.56,Residential,9
Country Club,Bronx,60,4.73,22.0,25.06,5.97,Residential,9
Long Island City/Hunters Point,Queens,1497,4.8,20.69,25.3,9.21,Residential,9
College Point,Queens,217,4.89,19.34,27.37,6.89,Residential,9
Sunset Park West,Brooklyn,936,4.9,20.44,26.74,6.99,Residential,9
Washington Heights South,Manhattan,1032,5.02,19.75,26.94,8.59,Residential,9
Williamsburg (South Side),Brooklyn,1610,5.04,18.31,28.64,6.87,Residential,9
West Brighton,Staten Island,174,5.16,22.42,26.1,6.41,Residential,9
Riverdale/North Riverdale/Fieldston,Bronx,459,5.31,19.48,30.21,6.74,Residential,9
Bloomingdale,Manhattan,296,5.39,20.78,28.55,8.12,Residential,9
East Village,Manhattan,2658,5.61,19.48,30.14,7.89,Residential,9
Upper West Side North,Manhattan,1243,5.66,19.69,30.54,8.88,Residential,9
Morningside Heights,Manhattan,914,5.76,20.16,30.39,10.87,Residential,9
Lower East Side,Manhattan,2132,5.94,19.41,32.15,8.22,Residential,9
Lincoln Square West,Manhattan,1090,5.96,20.01,31.25,6.36,Residential,9
Red Hook,Brooklyn,520,6.16,19.51,33.41,6.69,Residential,9
Roosevelt Island,Manhattan,167,6.29,21.0,33.94,6.72,Residential,9
Flatiron,Manhattan,1646,6.48,20.16,34.27,6.24,Residential,9
Marine Park/Floyd Bennett Field,Brooklyn,32,6.48,19.76,34.51,5.96,Residential,9
UN/Turtle Bay South,Manhattan,1196,6.55,20.18,34.13,12.44,Residential,9
West Concourse,Bronx,472,6.74,21.18,35.15,6.42,Residential,9
Murray Hill,Manhattan,2144,6.86,20.12,36.21,6.12,Residential,9
Willets Point,Queens,6,7.04,16.85,34.95,7.34,Residential,9
Upper East Side South,Manhattan,2293,7.09,19.95,37.81,7.42,Residential,9
TriBeCa/Civic Center,Manhattan,2687,7.14,19.39,38.76,8.09,Residential,9
Midtown East,Manhattan,2250,7.99,19.64,42.9,6.6,Residential,9
Saint Michaels Cemetery/Woodside,Queens,11,8.15,29.99,27.17,4.49,Residential,9
World Trade Center,Manhattan,1105,8.37,19.59,44.7,6.03,Residential,9
LaGuardia Airport,Queens,7207,12.09,19.34,63.73,8.68,Airport,9
Flushing Meadows-Corona Park,Queens,463,12.44,18.97,67.82,6.65,Residential,9
South Jamaica,Queens,201,3.32,19.6,18.99,11.97,Residential,3
South Williamsburg,Brooklyn,162,3.46,17.51,22.94,28.78,Residential,3
North Corona,Queens,171,3.52,19.67,20.24,6.87,Residential,3
East Flatbush/Remsen Village,Brooklyn,313,3.57,20.27,19.89,11.95,Residential,3
Laurelton,Queens,160,3.6,23.21,19.93,7.09,Residential,3
Saint Albans,Queens,337,3.65,19.24,21.85,6.92,Residential,3
East Tremont,Bronx,259,3.67,20.24,20.34,7.2,Residential,3
Bensonhurst West,Brooklyn,573,3.69,20.89,20.64,11.32,Residential,3
East New York/Pennsylvania Avenue,Brooklyn,143,3.7,21.39,21.2,14.66,Residential,3
Woodside,Queens,757,3.7,22.19,18.41,7.0,Residential,3
Ocean Parkway South,Brooklyn,158,3.74,19.31,20.77,7.39,Residential,3
Norwood,Bronx,337,3.78,19.57,21.62,6.87,Residential,3
Van Nest/Morris Park,Bronx,363,3.78,21.53,19.91,12.41,Residential,3
Manhattan Beach,Brooklyn,189,3.78,20.02,20.8,7.34,Residential,3
Ocean Hill,Brooklyn,331,3.87,19.39,22.62,7.28,Residential,3
Bedford,Brooklyn,1262,3.89,19.61,21.58,13.09,Residential,3
