zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
South Ozone Park,1236,2956.25,6.77,10.71,9
Springfield Gardens North,227,507.5,6.86,12.55,9
Springfield Gardens South,210,476.25,7.91,14.67,9
East Elmhurst,274,650.0,8.09,15.48,9
Ozone Park,84,197.5,8.14,21.71,9
Jackson Heights,384,935.0,8.74,19.82,9
Elmhurst,250,611.25,9.2,22.37,9
Baisley Park,381,890.0,9.31,15.8,9
Briarwood/Jamaica Hills,112,267.5,10.38,21.87,9
Brownsville,94,216.25,10.68,31.23,9
Murray Hill-Queens,74,175.0,10.72,26.66,9
Queens Village,104,241.25,11.0,28.05,9
Cambria Heights,85,195.0,12.45,23.65,9
East Flushing,34,82.5,13.16,26.74,9
Forest Hills,355,875.0,13.32,25.49,9
Hunts Point,21,51.25,13.65,39.57,9
Rego Park,90,218.75,14.32,29.59,9
Claremont/Bathgate,31,75.0,15.52,42.76,9
East Williamsburg,405,1005.0,16.28,40.1,9
Flatlands,110,258.75,16.35,39.0,9
Erasmus,102,243.75,16.58,45.96,9
Stuyvesant Heights,339,823.75,16.88,42.48,9
Queensbridge/Ravenswood,93,227.5,17.51,38.38,9
Bronx Park,4,10.0,17.57,39.76,9
Homecrest,50,123.75,17.65,52.82,9
Bensonhurst East,46,111.25,17.96,53.38,9
Melrose South,51,125.0,18.34,36.95,9
Prospect-Lefferts Gardens,277,673.75,19.03,47.99,9
Longwood,30,75.0,19.03,39.44,9
Mott Haven/Port Morris,123,298.75,19.33,34.92,9
University Heights/Morris Heights,48,118.75,21.31,40.71,9
Morrisania/Melrose,46,115.0,21.67,43.86,9
Breezy Point/Fort Tilden/Riis Beach,3,7.5,21.81,57.17,9
Kingsbridge Heights,24,57.5,21.92,44.65,9
Highbridge,36,87.5,22.59,39.77,9
Bath Beach,20,48.75,23.01,52.4,9
Highbridge Park,6,15.0,23.14,44.0,9
Williamsburg (North Side),673,1677.5,23.35,46.88,9
Inwood Hill Park,2,5.0,24.73,52.36,9
Windsor Terrace,75,186.25,24.83,58.86,9
Central Harlem,281,683.75,26.07,45.02,9
Stuy Town/Peter Cooper Village,162,400.0,26.07,49.7,9
Spuyten Duyvil/Kingsbridge,71,175.0,26.93,54.71,9
Chinatown,101,247.5,27.52,52.75,9
Van Cortlandt Park,2,3.75,27.69,61.1,9
Boerum Hill,370,918.75,27.99,53.42,9
Lenox Hill West,463,1148.75,29.93,50.37,9
Prospect Park,22,55.0,30.37,61.94,9
Arrochar/Fort Wadsworth,14,33.75,30.67,54.97,9
Mariners Harbor,24,60.0,31.58,44.8,9
Gramercy,584,1447.5,33.84,52.34,9
Little Italy/NoLiTa,425,1056.25,34.66,53.44,9
City Island,6,15.0,35.4,51.32,9
Upper East Side North,485,1207.5,36.5,52.69,9
Greenwich Village North,408,1015.0,36.8,56.02,9
Financial District North,683,1698.75,36.83,58.87,9
Clinton East,983,2441.25,36.96,56.26,9
Westerleigh,9,22.5,37.47,40.34,9
Upper West Side South,512,1266.25,38.37,59.13,9
New Dorp/Midland Beach,18,45.0,38.63,65.58,9
Penn Station/Madison Sq West,619,1535.0,39.62,54.88,9
Union Sq,604,1506.25,42.31,58.39,9
East Chelsea,1000,2491.25,42.74,59.07,9
Arden Heights,10,25.0,43.29,50.76,9
Freshkills Park,1,2.5,43.6,33.4,9
