from_zone,to_zone,empty_runs_count,avg_distance_miles
Outside of NYC,Flushing,314,13.76,9
TriBeCa/Civic Center,LaGuardia Airport,316,5.64,9
LaGuardia Airport,East Chelsea,321,8.44,9
Outside of NYC,East Flatbush/Remsen Village,324,13.15,9
Outside of NYC,East Concourse/Concourse Village,330,12.43,9
Outside of NYC,Borough Park,330,13.4,9
Outside of NYC,Washington Heights North,333,13.7,9
Outside of NYC,Upper West Side South,334,13.97,9
Outside of NYC,Central Harlem,352,14.86,9
Outside of NYC,Clinton West,354,13.29,9
Outside of NYC,East Harlem South,357,13.01,9
Outside of NYC,Ridgewood,358,13.85,9
Outside of NYC,Sunnyside,358,13.26,9
Outside of NYC,Sutton Place/Turtle Bay North,360,13.06,9
East Village,LaGuardia Airport,364,5.88,9
Outside of NYC,Fort Greene,365,15.07,9
Outside of NYC,Kips Bay,366,12.34,9
Outside of NYC,UN/Turtle Bay South,376,14.14,9
Crown Heights North,JFK Airport,382,5.51,9
Outside of NYC,Brownsville,387,12.84,9
Outside of NYC,South Ozone Park,390,13.8,9
Outside of NYC,Lenox Hill West,394,13.62,9
Outside of NYC,Garment District,413,13.61,9
Outside of NYC,SoHo,418,14.3,9
Outside of NYC,Boerum Hill,421,13.78,9
Outside of NYC,Washington Heights South,423,13.23,9
Outside of NYC,Jamaica,423,12.92,9
Crown Heights North,LaGuardia Airport,431,4.88,9
Outside of NYC,Mott Haven/Port Morris,431,13.69,9
Outside of NYC,Clinton Hill,433,11.63,9
Outside of NYC,Upper East Side South,434,13.75,9
Outside of NYC,Elmhurst,435,14.19,9
Outside of NYC,Greenwich Village North,449,14.01,9
Outside of NYC,Meatpacking/West Village West,451,12.88,9
Outside of NYC,Prospect-Lefferts Gardens,452,12.63,9
Outside of NYC,Lincoln Square East,453,12.84,9
Outside of NYC,Forest Hills,456,12.52,9
Outside of NYC,East Harlem North,456,13.67,9
Outside of NYC,Jackson Heights,458,13.18,9
Outside of NYC,Bushwick North,463,13.71,9
Outside of NYC,Upper East Side North,463,13.13,9
LaGuardia Airport,JFK Airport,463,9.88,9
Outside of NYC,Penn Station/Madison Sq West,464,13.08,9
Outside of NYC,Gramercy,465,12.91,9
Outside of NYC,Flatbush/Ditmas Park,470,13.44,9
Outside of NYC,Financial District North,473,13.9,9
Outside of NYC,Canarsie,475,12.73,9
Outside of NYC,Flatiron,480,13.01,9
Outside of NYC,Stuyvesant Heights,485,13.3,9
Outside of NYC,Park Slope,499,13.41,9
Outside of NYC,Greenwich Village South,506,12.5,9
Outside of NYC,Williamsburg (South Side),521,12.31,9
Outside of NYC,East Williamsburg,525,13.9,9
Outside of NYC,Murray Hill,526,14.17,9
Outside of NYC,Central Harlem North,528,13.38,9
Outside of NYC,Long Island City/Hunters Point,537,13.25,9
Outside of NYC,Little Italy/NoLiTa,552,12.38,9
Outside of NYC,Midtown East,573,14.43,9
Outside of NYC,Bedford,582,13.13,9
Outside of NYC,Clinton East,603,13.14,9
Outside of NYC,Astoria,604,12.49,9
Outside of NYC,Midtown North,612,14.64,9
Outside of NYC,West Village,616,12.85,9
Outside of NYC,Bushwick South,631,12.87,9
Outside of NYC,Greenpoint,631,12.77,9
Outside of NYC,East New York,633,14.9,9
Outside of NYC,Williamsburg (North Side),647,14.13,9
Outside of NYC,West Chelsea/Hudson Yards,664,14.37,9
Outside of NYC,Midtown South,677,13.05,9
Outside of NYC,Union Sq,709,13.43,9
Outside of NYC,East Chelsea,724,13.95,9
Outside of NYC,Lower East Side,740,13.01,9
Outside of NYC,Crown Heights North,751,13.02,9
Outside of NYC,TriBeCa/Civic Center,757,13.46,9
Outside of NYC,Times Sq/Theatre District,781,14.17,9
Outside of NYC,East Village,867,13.98,9
Outside of NYC,Midtown Center,889,13.18,9
Outside of NYC,LaGuardia Airport,1304,15.06,9
Outside of NYC,JFK Airport,1307,15.89,9
Outside of NYC,Battery Park City,313,13.34,10
Outside of NYC,Brooklyn Heights,316,14.61,10
Outside of NYC,Mount Hope,320,12.58,10
Outside of NYC,Clinton Hill,323,12.09,10
Bushwick South,JFK Airport,323,6.74,10
LaGuardia Airport,Times Sq/Theatre District,325,8.79,10
Crown Heights North,LaGuardia Airport,332,4.6,10
Outside of NYC,East Concourse/Concourse Village,334,14.64,10
Outside of NYC,Boerum Hill,334,15.49,10
Outside of NYC,Yorkville West,336,14.78,10
Outside of NYC,Lenox Hill East,337,13.72,10
LaGuardia Airport,Crown Heights North,337,7.96,10
Outside of NYC,Bay Ridge,341,13.49,10
Outside of NYC,Washington Heights North,345,11.44,10
Outside of NYC,Brownsville,348,12.54,10
Outside of NYC,Mott Haven/Port Morris,350,14.58,10
East Village,LaGuardia Airport,354,4.48,10
Outside of NYC,Clinton West,355,13.42,10
Outside of NYC,Canarsie,356,13.8,10
Outside of NYC,Sutton Place/Turtle Bay North,358,13.16,10
Outside of NYC,UN/Turtle Bay South,360,12.82,10
Outside of NYC,East Harlem South,362,14.09,10
Outside of NYC,SoHo,364,14.02,10
Outside of NYC,Central Harlem,369,13.32,10
Outside of NYC,Greenwich Village North,381,13.71,10
Outside of NYC,Penn Station/Madison Sq West,381,14.36,10
Outside of NYC,Flushing,383,13.68,10
Crown Heights North,JFK Airport,383,6.15,10
Outside of NYC,West Concourse,383,12.81,10
Outside of NYC,Lenox Hill West,384,13.25,10
Outside of NYC,Meatpacking/West Village West,386,14.37,10
Outside of NYC,Forest Hills,391,14.17,10
Outside of NYC,Flatiron,396,12.78,10
Outside of NYC,Garment District,396,13.33,10
Outside of NYC,Upper West Side South,397,12.35,10
Outside of NYC,Ridgewood,403,13.5,10
Outside of NYC,East Harlem North,409,13.32,10
Outside of NYC,Financial District North,426,13.84,10
Outside of NYC,Lincoln Square East,429,13.43,10
Outside of NYC,Fort Greene,440,13.69,10
Outside of NYC,South Ozone Park,444,12.12,10
Outside of NYC,Greenwich Village South,456,13.57,10
Outside of NYC,Washington Heights South,459,13.05,10
Outside of NYC,Little Italy/NoLiTa,462,12.6,10
Outside of NYC,Upper East Side North,463,14.38,10
Outside of NYC,Jamaica,464,12.8,10
Outside of NYC,Prospect-Lefferts Gardens,465,12.83,10
Outside of NYC,Central Harlem North,468,13.51,10
Outside of NYC,Flatbush/Ditmas Park,469,13.11,10
Outside of NYC,Bedford,473,14.29,10
Outside of NYC,Long Island City/Hunters Point,479,13.39,10
Outside of NYC,Jackson Heights,481,12.74,10
Outside of NYC,Gramercy,493,12.55,10
Outside of NYC,Elmhurst,499,12.4,10
Outside of NYC,Stuyvesant Heights,504,13.52,10
Outside of NYC,Bushwick North,521,12.62,10
LaGuardia Airport,JFK Airport,523,10.39,10
Outside of NYC,East Williamsburg,538,13.93,10
Outside of NYC,Murray Hill,542,15.31,10
Outside of NYC,Williamsburg (South Side),544,13.59,10
Outside of NYC,West Village,548,13.41,10
Outside of NYC,Midtown North,563,13.39,10
Outside of NYC,Clinton East,569,14.62,10
Outside of NYC,Upper East Side South,580,13.1,10
Outside of NYC,Park Slope,608,13.41,10
Outside of NYC,Midtown East,610,14.5,10
Outside of NYC,Astoria,613,13.03,10
Outside of NYC,East New York,618,12.72,10
Outside of NYC,Greenpoint,642,12.81,10
Outside of NYC,Midtown South,646,13.34,10
Outside of NYC,Bushwick South,665,14.03,10
Outside of NYC,West Chelsea/Hudson Yards,667,13.57,10
Outside of NYC,Williamsburg (North Side),679,13.42,10
Outside of NYC,Union Sq,680,13.9,10
Outside of NYC,Lower East Side,680,13.72,10
Outside of NYC,Crown Heights North,744,13.42,10
Outside of NYC,East Chelsea,754,13.43,10
Outside of NYC,TriBeCa/Civic Center,783,13.3,10
Outside of NYC,Times Sq/Theatre District,823,14.14,10
Outside of NYC,East Village,908,13.22,10
Outside of NYC,Midtown Center,966,14.71,10
Outside of NYC,LaGuardia Airport,1326,14.75,10
Outside of NYC,JFK Airport,1364,15.81,10
LaGuardia Airport,East New York,311,8.36,5
Bushwick South,LaGuardia Airport,311,5.5,5
LaGuardia Airport,TriBeCa/Civic Center,311,8.19,5
Outside of NYC,East Harlem South,312,14.29,5
Astoria,JFK Airport,313,6.41,5
Bushwick South,JFK Airport,314,7.56,5
LaGuardia Airport,Times Sq/Theatre District,317,8.68,5
Outside of NYC,Brooklyn Heights,317,13.24,5
TriBeCa/Civic Center,JFK Airport,318,6.25,5
Outside of NYC,Boerum Hill,322,13.32,5
Outside of NYC,Clinton Hill,325,13.41,5
Outside of NYC,Flushing,326,13.24,5
Outside of NYC,Sunnyside,329,13.46,5
Outside of NYC,Mount Hope,329,12.83,5
Outside of NYC,Fort Greene,331,13.63,5
Outside of NYC,Garment District,332,14.15,5
East Village,LaGuardia Airport,335,5.18,5
Outside of NYC,East Harlem North,336,14.02,5
Outside of NYC,SoHo,340,13.51,5
Outside of NYC,Ridgewood,341,14.12,5
LaGuardia Airport,Crown Heights North,353,8.17,5
Outside of NYC,Sutton Place/Turtle Bay North,358,12.85,5
Outside of NYC,Elmhurst,358,14.48,5
Outside of NYC,Meatpacking/West Village West,358,13.58,5
Crown Heights North,JFK Airport,363,5.51,5
Outside of NYC,Upper West Side South,368,13.12,5
Outside of NYC,Lenox Hill West,369,12.42,5
Outside of NYC,Clinton West,373,13.81,5
Outside of NYC,South Ozone Park,376,12.78,5
Outside of NYC,Financial District North,377,14.38,5
Outside of NYC,Greenwich Village North,380,13.08,5
Outside of NYC,Upper East Side North,380,12.63,5
Outside of NYC,Flatiron,382,11.89,5
Crown Heights North,LaGuardia Airport,395,5.44,5
Outside of NYC,Penn Station/Madison Sq West,395,14.02,5
Outside of NYC,Greenwich Village South,400,13.87,5
Outside of NYC,Canarsie,403,12.7,5
Outside of NYC,Forest Hills,407,12.1,5
Outside of NYC,Flatbush/Ditmas Park,408,13.11,5
Outside of NYC,Stuyvesant Heights,413,13.7,5
Outside of NYC,Prospect-Lefferts Gardens,416,13.67,5
