is_weekend,hour,trip_count,avg_fare,avg_duration_min,avg_tips,avg_wait_time_min,day_part
false,0,430558,28.35,18.86,1.3,3.9,Night
false,1,403631,28.01,18.76,1.18,4.25,Night
false,2,329357,26.2,18.34,1.01,4.0,Night
false,3,222239,24.47,17.2,0.89,3.62,Night
false,4,135560,23.4,16.23,0.78,3.34,Night
false,5,91090,23.09,15.91,0.69,3.53,Night
false,6,77119,24.99,16.51,0.75,3.91,Morning
false,7,93987,29.06,17.62,1.1,4.37,Morning
false,8,145369,28.71,18.55,1.13,3.83,Morning
false,9,256465,26.78,19.38,0.99,3.72,Morning
false,10,406201,25.63,19.73,0.96,4.13,Morning
false,11,475848,24.87,19.59,1.0,3.58,Morning
false,12,404635,24.96,19.73,1.13,2.97,Afternoon
false,13,353398,26.31,20.5,1.27,2.86,Afternoon
false,14,340936,26.94,20.88,1.32,2.91,Afternoon
false,15,348284,27.26,21.17,1.33,3.12,Afternoon
false,16,368937,27.74,21.79,1.33,3.27,Afternoon
false,17,409699,28.4,23.19,1.33,3.46,Afternoon
false,18,416035,28.92,24.16,1.32,3.44,Evening
false,19,436260,28.33,24.05,1.28,3.47,Evening
false,20,486923,27.14,22.54,1.21,3.59,Evening
false,21,502773,25.62,20.24,1.14,3.51,Evening
false,22,480573,24.84,18.86,1.09,3.31,Evening
false,23,461963,26.41,18.85,1.21,3.33,Evening
true,0,222604,23.59,19.08,0.92,3.25,Night
true,1,237613,24.93,19.62,0.95,3.79,Night
true,2,228147,25.88,19.24,0.91,4.41,Night
true,3,187989,25.32,18.22,0.82,4.27,Night
true,4,154514,24.28,17.28,0.73,3.98,Night
true,5,112011,24.4,16.93,0.69,4.07,Night
true,6,87547,25.92,17.18,0.66,4.43,Morning
true,7,64951,28.03,17.55,0.76,4.75,Morning
true,8,54481,27.48,17.91,0.87,3.91,Morning
true,9,69598,26.49,17.68,0.9,4.01,Morning
true,10,84966,24.66,17.18,0.92,3.41,Morning
true,11,105159,23.32,16.8,0.97,3.12,Morning
true,12,132992,22.79,16.85,1.03,3.21,Afternoon
true,13,153987,23.26,17.61,1.08,3.22,Afternoon
true,14,163663,24.09,18.77,1.1,3.27,Afternoon
true,15,170076,24.86,19.71,1.13,3.45,Afternoon
true,16,175524,25.55,20.6,1.12,3.62,Afternoon
true,17,180289,26.18,21.43,1.11,3.6,Afternoon
true,18,185119,26.16,21.76,1.1,3.48,Evening
true,19,190065,26.47,22.01,1.11,3.54,Evening
true,20,198093,25.83,21.47,1.09,3.58,Evening
true,21,206830,25.18,20.75,1.05,3.64,Evening
true,22,206378,24.46,19.93,0.95,3.77,Evening
true,23,198688,23.49,19.24,0.87,3.63,Evening
